"Label","Deposit","Net2023","Net2024","Net2025","MinYearNet"
"h1_34_89_l7_dep25000_thresh","25000","-27265","-24414.6","937743.8","-27265"
"h1_34_89_l7_dep30000_thresh","30000","-31740.8","-30049.6","937743.8","-31740.8"
"h1_34_89_l7_dep35000_thresh","35000","-35442.4","-35789.6","937743.8","-35789.6"
"h1_34_89_l7_dep40000_thresh","40000","111932.8","284152.4","937743.8","111932.8"
"h1_34_89_l7_dep45000_thresh","45000","111932.8","284152.4","937743.8","111932.8"
"h1_34_89_l7_dep50000_thresh","50000","111932.8","284152.4","937743.8","111932.8"
