"Fast","Slow","Summary","EarlyStop","LastQuarter","MinQuarter","AvgQuarter"
"40","75","m15_posscan_f40_s75_l1 SUMMARY MinQuarterNet=-9,240.20 AvgQuarterNet=-2,476.40 PassAll12=False","m15_posscan_f40_s75_l1 EARLY_STOP Quarter=2023Q2 Net=-9,240.20 <= StopIfQuarterNetLe=0.00","2023Q2","-9240.2","-2476.4"
"40","89","m15_posscan_f40_s89_l1 SUMMARY MinQuarterNet=-13,909.00 AvgQuarterNet=-6,221.90 PassAll12=False","m15_posscan_f40_s89_l1 EARLY_STOP Quarter=2023Q2 Net=-13,909.00 <= StopIfQuarterNetLe=0.00","2023Q2","-13909","-6221.9"
"40","100","m15_posscan_f40_s100_l1 SUMMARY MinQuarterNet=-15,503.80 AvgQuarterNet=-6,796.00 PassAll12=False","m15_posscan_f40_s100_l1 EARLY_STOP Quarter=2023Q2 Net=-15,503.80 <= StopIfQuarterNetLe=0.00","2023Q2","-15503.8","-6796"
"40","120","m15_posscan_f40_s120_l1 SUMMARY MinQuarterNet=-18,110.80 AvgQuarterNet=-3,385.60 PassAll12=False","m15_posscan_f40_s120_l1 EARLY_STOP Quarter=2023Q2 Net=-18,110.80 <= StopIfQuarterNetLe=0.00","2023Q2","-18110.8","-3385.6"
"40","144","m15_posscan_f40_s144_l1 SUMMARY MinQuarterNet=-20,009.40 AvgQuarterNet=-3,707.00 PassAll12=False","m15_posscan_f40_s144_l1 EARLY_STOP Quarter=2023Q2 Net=-20,009.40 <= StopIfQuarterNetLe=0.00","2023Q2","-20009.4","-3707"
"40","150","m15_posscan_f40_s150_l1 SUMMARY MinQuarterNet=-18,487.40 AvgQuarterNet=-4,112.00 PassAll12=False","m15_posscan_f40_s150_l1 EARLY_STOP Quarter=2023Q2 Net=-18,487.40 <= StopIfQuarterNetLe=0.00","2023Q2","-18487.4","-4112"
"50","60","m15_posscan_f50_s60_l1 SUMMARY MinQuarterNet=-8,183.20 AvgQuarterNet=-2,230.90 PassAll12=False","m15_posscan_f50_s60_l1 EARLY_STOP Quarter=2023Q2 Net=-8,183.20 <= StopIfQuarterNetLe=0.00","2023Q2","-8183.2","-2230.9"
"50","75","m15_posscan_f50_s75_l1 SUMMARY MinQuarterNet=-11,095.40 AvgQuarterNet=-3,482.60 PassAll12=False","m15_posscan_f50_s75_l1 EARLY_STOP Quarter=2023Q2 Net=-11,095.40 <= StopIfQuarterNetLe=0.00","2023Q2","-11095.4","-3482.6"
"50","89","m15_posscan_f50_s89_l1 SUMMARY MinQuarterNet=-15,334.00 AvgQuarterNet=-7,181.10 PassAll12=False","m15_posscan_f50_s89_l1 EARLY_STOP Quarter=2023Q2 Net=-15,334.00 <= StopIfQuarterNetLe=0.00","2023Q2","-15334","-7181.1"
"50","100","m15_posscan_f50_s100_l1 SUMMARY MinQuarterNet=-17,462.60 AvgQuarterNet=-2,418.50 PassAll12=False","m15_posscan_f50_s100_l1 EARLY_STOP Quarter=2023Q2 Net=-17,462.60 <= StopIfQuarterNetLe=0.00","2023Q2","-17462.6","-2418.5"
"50","120","m15_posscan_f50_s120_l1 SUMMARY MinQuarterNet=-20,019.40 AvgQuarterNet=-4,152.70 PassAll12=False","m15_posscan_f50_s120_l1 EARLY_STOP Quarter=2023Q2 Net=-20,019.40 <= StopIfQuarterNetLe=0.00","2023Q2","-20019.4","-4152.7"
"50","144","m15_posscan_f50_s144_l1 SUMMARY MinQuarterNet=-19,065.60 AvgQuarterNet=-3,761.20 PassAll12=False","m15_posscan_f50_s144_l1 EARLY_STOP Quarter=2023Q2 Net=-19,065.60 <= StopIfQuarterNetLe=0.00","2023Q2","-19065.6","-3761.2"
"50","150","m15_posscan_f50_s150_l1 SUMMARY MinQuarterNet=-21,400.20 AvgQuarterNet=-4,666.50 PassAll12=False","m15_posscan_f50_s150_l1 EARLY_STOP Quarter=2023Q2 Net=-21,400.20 <= StopIfQuarterNetLe=0.00","2023Q2","-21400.2","-4666.5"
"55","60","m15_posscan_f55_s60_l1 SUMMARY MinQuarterNet=-11,598.20 AvgQuarterNet=-3,741.40 PassAll12=False","m15_posscan_f55_s60_l1 EARLY_STOP Quarter=2023Q2 Net=-11,598.20 <= StopIfQuarterNetLe=0.00","2023Q2","-11598.2","-3741.4"
"55","75","m15_posscan_f55_s75_l1 SUMMARY MinQuarterNet=-17,006.60 AvgQuarterNet=-7,234.20 PassAll12=False","m15_posscan_f55_s75_l1 EARLY_STOP Quarter=2023Q2 Net=-17,006.60 <= StopIfQuarterNetLe=0.00","2023Q2","-17006.6","-7234.2"
"55","89","m15_posscan_f55_s89_l1 SUMMARY MinQuarterNet=-14,203.40 AvgQuarterNet=-1,833.00 PassAll12=False","m15_posscan_f55_s89_l1 EARLY_STOP Quarter=2023Q2 Net=-14,203.40 <= StopIfQuarterNetLe=0.00","2023Q2","-14203.4","-1833"
"55","100","m15_posscan_f55_s100_l1 SUMMARY MinQuarterNet=-15,923.00 AvgQuarterNet=-1,536.20 PassAll12=False","m15_posscan_f55_s100_l1 EARLY_STOP Quarter=2023Q2 Net=-15,923.00 <= StopIfQuarterNetLe=0.00","2023Q2","-15923","-1536.2"
"55","120","m15_posscan_f55_s120_l1 SUMMARY MinQuarterNet=-21,228.80 AvgQuarterNet=-5,444.70 PassAll12=False","m15_posscan_f55_s120_l1 EARLY_STOP Quarter=2023Q2 Net=-21,228.80 <= StopIfQuarterNetLe=0.00","2023Q2","-21228.8","-5444.7"
"55","144","m15_posscan_f55_s144_l1 SUMMARY MinQuarterNet=-20,684.60 AvgQuarterNet=-4,247.70 PassAll12=False","m15_posscan_f55_s144_l1 EARLY_STOP Quarter=2023Q2 Net=-20,684.60 <= StopIfQuarterNetLe=0.00","2023Q2","-20684.6","-4247.7"
"55","150","m15_posscan_f55_s150_l1 SUMMARY MinQuarterNet=-21,103.60 AvgQuarterNet=-5,259.20 PassAll12=False","m15_posscan_f55_s150_l1 EARLY_STOP Quarter=2023Q2 Net=-21,103.60 <= StopIfQuarterNetLe=0.00","2023Q2","-21103.6","-5259.2"
