"Fast","Slow","Summary","EarlyStop"
"20","100","m15_t21000_f20_s100_l5 SUMMARY MinQuarterNet=-25,160.00 AvgQuarterNet=6,019.50 PassAll12=False","m15_t21000_f20_s100_l5 EARLY_STOP Quarter=2023Q2 Net=-25,160.00 <= StopIfQuarterNetLe=21,000.00"
"20","120","","m15_t21000_f20_s120_l5 EARLY_STOP Quarter=2023Q1 Net=14,031.00 <= StopIfQuarterNetLe=21,000.00"
"20","144","m15_t21000_f20_s144_l5 SUMMARY MinQuarterNet=-25,011.00 AvgQuarterNet=19,863.50 PassAll12=False","m15_t21000_f20_s144_l5 EARLY_STOP Quarter=2023Q2 Net=-25,011.00 <= StopIfQuarterNetLe=21,000.00"
"20","150","m15_t21000_f20_s150_l5 SUMMARY MinQuarterNet=-25,298.00 AvgQuarterNet=16,597.50 PassAll12=False","m15_t21000_f20_s150_l5 EARLY_STOP Quarter=2023Q2 Net=-25,298.00 <= StopIfQuarterNetLe=21,000.00"
"25","30","","m15_t21000_f25_s30_l5 EARLY_STOP Quarter=2023Q1 Net=9,621.00 <= StopIfQuarterNetLe=21,000.00"
"25","40","","m15_t21000_f25_s40_l5 EARLY_STOP Quarter=2023Q1 Net=9,803.00 <= StopIfQuarterNetLe=21,000.00"
"25","50","","m15_t21000_f25_s50_l5 EARLY_STOP Quarter=2023Q1 Net=89.00 <= StopIfQuarterNetLe=21,000.00"
"25","60","","m15_t21000_f25_s60_l5 EARLY_STOP Quarter=2023Q1 Net=10,376.00 <= StopIfQuarterNetLe=21,000.00"
"25","75","m15_t21000_f25_s75_l5 SUMMARY MinQuarterNet=-25,339.00 AvgQuarterNet=-1,261.00 PassAll12=False","m15_t21000_f25_s75_l5 EARLY_STOP Quarter=2023Q2 Net=-25,339.00 <= StopIfQuarterNetLe=21,000.00"
"25","89","m15_t21000_f25_s89_l5 SUMMARY MinQuarterNet=-24,777.00 AvgQuarterNet=5,040.00 PassAll12=False","m15_t21000_f25_s89_l5 EARLY_STOP Quarter=2023Q2 Net=-24,777.00 <= StopIfQuarterNetLe=21,000.00"
"25","100","m15_t21000_f25_s100_l5 SUMMARY MinQuarterNet=-24,999.00 AvgQuarterNet=-741.50 PassAll12=False","m15_t21000_f25_s100_l5 EARLY_STOP Quarter=2023Q2 Net=-24,999.00 <= StopIfQuarterNetLe=21,000.00"
"25","120","m15_t21000_f25_s120_l5 SUMMARY MinQuarterNet=-25,880.00 AvgQuarterNet=-2,073.00 PassAll12=False","m15_t21000_f25_s120_l5 EARLY_STOP Quarter=2023Q2 Net=-25,880.00 <= StopIfQuarterNetLe=21,000.00"
"25","144","m15_t21000_f25_s144_l5 SUMMARY MinQuarterNet=-25,026.00 AvgQuarterNet=22,306.00 PassAll12=False","m15_t21000_f25_s144_l5 EARLY_STOP Quarter=2023Q2 Net=-25,026.00 <= StopIfQuarterNetLe=21,000.00"
"25","150","m15_t21000_f25_s150_l5 SUMMARY MinQuarterNet=-25,163.00 AvgQuarterNet=8,682.50 PassAll12=False","m15_t21000_f25_s150_l5 EARLY_STOP Quarter=2023Q2 Net=-25,163.00 <= StopIfQuarterNetLe=21,000.00"
"30","40","","m15_t21000_f30_s40_l5 EARLY_STOP Quarter=2023Q1 Net=-1,509.00 <= StopIfQuarterNetLe=21,000.00"
"30","50","","m15_t21000_f30_s50_l5 EARLY_STOP Quarter=2023Q1 Net=3,931.00 <= StopIfQuarterNetLe=21,000.00"
"30","60","","m15_t21000_f30_s60_l5 EARLY_STOP Quarter=2023Q1 Net=16,252.00 <= StopIfQuarterNetLe=21,000.00"
"30","75","","m15_t21000_f30_s75_l5 EARLY_STOP Quarter=2023Q1 Net=16,019.00 <= StopIfQuarterNetLe=21,000.00"
