"Label","Deposit","Net2023","Net2024","Net2025","MinYearNet"
"h1_34_89_l7_dep50000_scan","50000","111932.8","284152.4","937743.8","111932.8"
"h1_34_89_l7_dep60000_scan","60000","111932.8","284152.4","937743.8","111932.8"
"h1_34_89_l7_dep70000_scan","70000","111932.8","284152.4","937743.8","111932.8"
"h1_34_89_l7_dep80000_scan","80000","111932.8","284152.4","937743.8","111932.8"
"h1_34_89_l7_dep90000_scan","90000","111932.8","284152.4","937743.8","111932.8"
"h1_34_89_l7_dep100000_scan","100000","111932.8","284152.4","937743.8","111932.8"
"h1_34_89_l7_dep110000_scan","110000","111932.8","284152.4","937743.8","111932.8"
"h1_34_89_l7_dep120000_scan","120000","111932.8","284152.4","937743.8","111932.8"
