"FastEma","SlowEma","LotSize","QuartersTested","MinQuarterNet","AvgQuarterNet","MeetsAll12"
"50","120","1","1","-999999","-999999","False"
"50","100","5","1","-999999","-999999","False"
"50","100","1","1","-999999","-999999","False"
"50","89","5","1","-999999","-999999","False"
"50","100","2","1","-999999","-999999","False"
"50","100","1.5","1","-999999","-999999","False"
"50","144","1","1","-999999","-999999","False"
"50","120","5","1","-999999","-999999","False"
"50","144","2","1","-999999","-999999","False"
"50","144","1.5","1","-999999","-999999","False"
"50","120","2","1","-999999","-999999","False"
"50","120","1.5","1","-999999","-999999","False"
"50","120","4","1","-999999","-999999","False"
"50","120","3","1","-999999","-999999","False"
"55","75","2","1","-999999","-999999","False"
"55","144","1.5","1","-999999","-999999","False"
"55","144","1","1","-999999","-999999","False"
"55","144","3","1","-999999","-999999","False"
"55","144","2","1","-999999","-999999","False"
"55","120","3","1","-999999","-999999","False"
"55","120","2","1","-999999","-999999","False"
"55","120","5","1","-999999","-999999","False"
"55","120","4","1","-999999","-999999","False"
"55","150","3","1","-999999","-999999","False"
"55","150","2","1","-999999","-999999","False"
"55","150","5","1","-999999","-999999","False"
"55","150","4","1","-999999","-999999","False"
"55","144","5","1","-999999","-999999","False"
"55","144","4","1","-999999","-999999","False"
"55","150","1.5","1","-999999","-999999","False"
"55","150","1","1","-999999","-999999","False"
"55","120","1.5","1","-999999","-999999","False"
"55","89","2","1","-999999","-999999","False"
"55","89","1.5","1","-999999","-999999","False"
"55","89","4","1","-999999","-999999","False"
"55","89","3","1","-999999","-999999","False"
"55","75","4","1","-999999","-999999","False"
"55","75","3","1","-999999","-999999","False"
"55","89","1","1","-999999","-999999","False"
"55","75","5","1","-999999","-999999","False"
"55","100","4","1","-999999","-999999","False"
"55","100","3","1","-999999","-999999","False"
"55","120","1","1","-999999","-999999","False"
"55","100","5","1","-999999","-999999","False"
"55","100","1","1","-999999","-999999","False"
"55","89","5","1","-999999","-999999","False"
"55","100","2","1","-999999","-999999","False"
"55","100","1.5","1","-999999","-999999","False"
"50","89","4","1","-999999","-999999","False"
"40","89","1.5","1","-999999","-999999","False"
"40","89","1","1","-999999","-999999","False"
"40","89","3","1","-999999","-999999","False"
"40","89","2","1","-999999","-999999","False"
"40","75","3","1","-999999","-999999","False"
"40","75","2","1","-999999","-999999","False"
"40","75","5","1","-999999","-999999","False"
"40","75","4","1","-999999","-999999","False"
"40","100","3","1","-999999","-999999","False"
"40","100","2","1","-999999","-999999","False"
"40","100","5","1","-999999","-999999","False"
"40","100","4","1","-999999","-999999","False"
"40","89","5","1","-999999","-999999","False"
"40","89","4","1","-999999","-999999","False"
"40","100","1.5","1","-999999","-999999","False"
"40","100","1","1","-999999","-999999","False"
"40","75","1.5","1","-999999","-999999","False"
"40","50","2","1","-999999","-999999","False"
"40","50","1.5","1","-999999","-999999","False"
"40","50","4","1","-999999","-999999","False"
"40","50","3","1","-999999","-999999","False"
"34","150","4","1","-999999","-999999","False"
"34","150","3","1","-999999","-999999","False"
"40","50","1","1","-999999","-999999","False"
"34","150","5","1","-999999","-999999","False"
"40","60","4","1","-999999","-999999","False"
"40","60","3","1","-999999","-999999","False"
"40","75","1","1","-999999","-999999","False"
"40","60","5","1","-999999","-999999","False"
"40","60","1","1","-999999","-999999","False"
"40","50","5","1","-999999","-999999","False"
"40","60","2","1","-999999","-999999","False"
"40","60","1.5","1","-999999","-999999","False"
"40","120","1","1","-999999","-999999","False"
"50","60","5","1","-999999","-999999","False"
"50","60","4","1","-999999","-999999","False"
"50","75","1.5","1","-999999","-999999","False"
"50","75","1","1","-999999","-999999","False"
"50","60","1.5","1","-999999","-999999","False"
"50","60","1","1","-999999","-999999","False"
"50","60","3","1","-999999","-999999","False"
"50","60","2","1","-999999","-999999","False"
"50","89","1.5","1","-999999","-999999","False"
"50","89","1","1","-999999","-999999","False"
"50","89","3","1","-999999","-999999","False"
"50","89","2","1","-999999","-999999","False"
"50","75","3","1","-999999","-999999","False"
"50","75","2","1","-999999","-999999","False"
"50","75","5","1","-999999","-999999","False"
"50","75","4","1","-999999","-999999","False"
"40","150","5","1","-999999","-999999","False"
"40","144","1","1","-999999","-999999","False"
"40","120","5","1","-999999","-999999","False"
"40","144","2","1","-999999","-999999","False"
"40","144","1.5","1","-999999","-999999","False"
"40","120","2","1","-999999","-999999","False"
"40","120","1.5","1","-999999","-999999","False"
"40","120","4","1","-999999","-999999","False"
"40","120","3","1","-999999","-999999","False"
"40","150","2","1","-999999","-999999","False"
"40","150","1.5","1","-999999","-999999","False"
"40","150","4","1","-999999","-999999","False"
"40","150","3","1","-999999","-999999","False"
"40","144","4","1","-999999","-999999","False"
"40","144","3","1","-999999","-999999","False"
"40","150","1","1","-999999","-999999","False"
"40","144","5","1","-999999","-999999","False"
"12","89","1","1","-999999","-999999","False"
"12","75","5","1","-999999","-999999","False"
"12","89","2","1","-999999","-999999","False"
"12","89","1.5","1","-999999","-999999","False"
"12","75","2","1","-999999","-999999","False"
"12","75","1.5","1","-999999","-999999","False"
"12","75","4","1","-999999","-999999","False"
"12","75","3","1","-999999","-999999","False"
"12","100","2","1","-999999","-999999","False"
"12","100","1.5","1","-999999","-999999","False"
"12","100","4","1","-999999","-999999","False"
"12","100","3","1","-999999","-999999","False"
"12","89","4","1","-999999","-999999","False"
"12","89","3","1","-999999","-999999","False"
"12","100","1","1","-999999","-999999","False"
"12","89","5","1","-999999","-999999","False"
"12","75","1","1","-999999","-999999","False"
"12","50","1.5","1","-999999","-999999","False"
"12","50","1","1","-999999","-999999","False"
"12","50","3","1","-999999","-999999","False"
"12","50","2","1","-999999","-999999","False"
"12","40","3","1","-999999","-999999","False"
"12","40","2","1","-999999","-999999","False"
"12","40","5","1","-999999","-999999","False"
"12","40","4","1","-999999","-999999","False"
"12","60","3","1","-999999","-999999","False"
"12","60","2","1","-999999","-999999","False"
"12","60","5","1","-999999","-999999","False"
"12","60","4","1","-999999","-999999","False"
"12","50","5","1","-999999","-999999","False"
"12","50","4","1","-999999","-999999","False"
"12","60","1.5","1","-999999","-999999","False"
"12","60","1","1","-999999","-999999","False"
"12","100","5","1","-999999","-999999","False"
"15","30","4","1","-999999","-999999","False"
"15","30","3","1","-999999","-999999","False"
"15","40","1","1","-999999","-999999","False"
"15","30","5","1","-999999","-999999","False"
"15","30","1","1","-999999","-999999","False"
"12","150","5","1","-999999","-999999","False"
"15","30","2","1","-999999","-999999","False"
"15","30","1.5","1","-999999","-999999","False"
"15","50","1","1","-999999","-999999","False"
"15","40","5","1","-999999","-999999","False"
"15","50","2","1","-999999","-999999","False"
"15","50","1.5","1","-999999","-999999","False"
"15","40","2","1","-999999","-999999","False"
"15","40","1.5","1","-999999","-999999","False"
"15","40","4","1","-999999","-999999","False"
"15","40","3","1","-999999","-999999","False"
"12","150","4","1","-999999","-999999","False"
"12","120","5","1","-999999","-999999","False"
"12","120","4","1","-999999","-999999","False"
"12","144","1.5","1","-999999","-999999","False"
"12","144","1","1","-999999","-999999","False"
"12","120","1.5","1","-999999","-999999","False"
"12","120","1","1","-999999","-999999","False"
"12","120","3","1","-999999","-999999","False"
"12","120","2","1","-999999","-999999","False"
"12","150","1.5","1","-999999","-999999","False"
"12","150","1","1","-999999","-999999","False"
"12","150","3","1","-999999","-999999","False"
"12","150","2","1","-999999","-999999","False"
"12","144","3","1","-999999","-999999","False"
"12","144","2","1","-999999","-999999","False"
"12","144","5","1","-999999","-999999","False"
"12","144","4","1","-999999","-999999","False"
"12","40","1.5","1","-999999","-999999","False"
"9","60","4","1","-999999","-999999","False"
"9","60","3","1","-999999","-999999","False"
"9","75","1","1","-999999","-999999","False"
"9","60","5","1","-999999","-999999","False"
"9","60","1","1","-999999","-999999","False"
"9","50","5","1","-999999","-999999","False"
"9","60","2","1","-999999","-999999","False"
"9","60","1.5","1","-999999","-999999","False"
"9","89","1","1","-999999","-999999","False"
"9","75","5","1","-999999","-999999","False"
"9","89","2","1","-999999","-999999","False"
"9","89","1.5","1","-999999","-999999","False"
"9","75","2","1","-999999","-999999","False"
"9","75","1.5","1","-999999","-999999","False"
"9","75","4","1","-999999","-999999","False"
"9","75","3","1","-999999","-999999","False"
"9","50","4","1","-999999","-999999","False"
"9","30","5","1","-999999","-999999","False"
"9","30","4","1","-999999","-999999","False"
"9","40","1.5","1","-999999","-999999","False"
"9","40","1","1","-999999","-999999","False"
"9","30","1.5","1","-999999","-999999","False"
"9","30","1","1","-999999","-999999","False"
"9","30","3","1","-999999","-999999","False"
"9","30","2","1","-999999","-999999","False"
"9","50","1.5","1","-999999","-999999","False"
"9","50","1","1","-999999","-999999","False"
"9","50","3","1","-999999","-999999","False"
"9","50","2","1","-999999","-999999","False"
"9","40","3","1","-999999","-999999","False"
"9","40","2","1","-999999","-999999","False"
"9","40","5","1","-999999","-999999","False"
"9","40","4","1","-999999","-999999","False"
"9","89","3","1","-999999","-999999","False"
"9","150","2","1","-999999","-999999","False"
"9","150","1.5","1","-999999","-999999","False"
"9","150","4","1","-999999","-999999","False"
"9","150","3","1","-999999","-999999","False"
"9","144","4","1","-999999","-999999","False"
"9","144","3","1","-999999","-999999","False"
"9","150","1","1","-999999","-999999","False"
"9","144","5","1","-999999","-999999","False"
"12","30","4","1","-999999","-999999","False"
"12","30","3","1","-999999","-999999","False"
"12","40","1","1","-999999","-999999","False"
"12","30","5","1","-999999","-999999","False"
"12","30","1","1","-999999","-999999","False"
"9","150","5","1","-999999","-999999","False"
"12","30","2","1","-999999","-999999","False"
"12","30","1.5","1","-999999","-999999","False"
"9","144","2","1","-999999","-999999","False"
"9","100","3","1","-999999","-999999","False"
"9","100","2","1","-999999","-999999","False"
"9","100","5","1","-999999","-999999","False"
"9","100","4","1","-999999","-999999","False"
"9","89","5","1","-999999","-999999","False"
"9","89","4","1","-999999","-999999","False"
"9","100","1.5","1","-999999","-999999","False"
"9","100","1","1","-999999","-999999","False"
"9","120","5","1","-999999","-999999","False"
"9","120","4","1","-999999","-999999","False"
"9","144","1.5","1","-999999","-999999","False"
"9","144","1","1","-999999","-999999","False"
"9","120","1.5","1","-999999","-999999","False"
"9","120","1","1","-999999","-999999","False"
"9","120","3","1","-999999","-999999","False"
"9","120","2","1","-999999","-999999","False"
"20","120","3","1","-999999","-999999","False"
"20","120","2","1","-999999","-999999","False"
"20","120","5","1","-999999","-999999","False"
"20","120","4","1","-999999","-999999","False"
"20","100","5","1","-999999","-999999","False"
"20","100","4","1","-999999","-999999","False"
"20","120","1.5","1","-999999","-999999","False"
"20","120","1","1","-999999","-999999","False"
"20","144","5","1","-999999","-999999","False"
"20","144","4","1","-999999","-999999","False"
"20","150","1.5","1","-999999","-999999","False"
"20","150","1","1","-999999","-999999","False"
"20","144","1.5","1","-999999","-999999","False"
"20","144","1","1","-999999","-999999","False"
"20","144","3","1","-999999","-999999","False"
"20","144","2","1","-999999","-999999","False"
"20","100","3","1","-999999","-999999","False"
"20","75","4","1","-999999","-999999","False"
"20","75","3","1","-999999","-999999","False"
"20","89","1","1","-999999","-999999","False"
"20","75","5","1","-999999","-999999","False"
"20","75","1","1","-999999","-999999","False"
"20","60","5","1","-999999","-999999","False"
"20","75","2","1","-999999","-999999","False"
"20","75","1.5","1","-999999","-999999","False"
"20","100","1","1","-999999","-999999","False"
"20","89","5","1","-999999","-999999","False"
"20","100","2","1","-999999","-999999","False"
"20","100","1.5","1","-999999","-999999","False"
"20","89","2","1","-999999","-999999","False"
"20","89","1.5","1","-999999","-999999","False"
"20","89","4","1","-999999","-999999","False"
"20","89","3","1","-999999","-999999","False"
"20","150","2","1","-999999","-999999","False"
"25","60","1.5","1","-999999","-999999","False"
"25","60","1","1","-999999","-999999","False"
"25","60","3","1","-999999","-999999","False"
"25","60","2","1","-999999","-999999","False"
"25","50","3","1","-999999","-999999","False"
"25","50","2","1","-999999","-999999","False"
"25","50","5","1","-999999","-999999","False"
"25","50","4","1","-999999","-999999","False"
"25","75","3","1","-999999","-999999","False"
"25","75","2","1","-999999","-999999","False"
"25","75","5","1","-999999","-999999","False"
"25","75","4","1","-999999","-999999","False"
