"Label","Summary"
"m15_f20_s50_l1_qscan","m15_f20_s50_l1_qscan SUMMARY MinQuarterNet=-4,257.80 AvgQuarterNet=12,135.12 PassAll12=False"
"m15_f30_s120_l1_qscan","m15_f30_s120_l1_qscan SUMMARY MinQuarterNet=-15,552.80 AvgQuarterNet=13,714.77 PassAll12=False"
"m15_f34_s89_l1_qscan","m15_f34_s89_l1_qscan SUMMARY MinQuarterNet=-9,939.80 AvgQuarterNet=12,489.17 PassAll12=False"
"m15_f40_s120_l1_qscan","m15_f40_s120_l1_qscan SUMMARY MinQuarterNet=-18,110.80 AvgQuarterNet=12,721.93 PassAll12=False"
"m15_f50_s120_l1_qscan","m15_f50_s120_l1_qscan SUMMARY MinQuarterNet=-20,019.40 AvgQuarterNet=14,375.57 PassAll12=False"
"m15_f55_s144_l1_qscan","m15_f55_s144_l1_qscan SUMMARY MinQuarterNet=-20,684.60 AvgQuarterNet=13,555.90 PassAll12=False"
"m15_f70_s150_l1_qscan","m15_f70_s150_l1_qscan SUMMARY MinQuarterNet=-19,640.40 AvgQuarterNet=15,677.78 PassAll12=False"
"m15_f90_s180_l1_qscan","m15_f90_s180_l1_qscan SUMMARY MinQuarterNet=-16,454.20 AvgQuarterNet=14,759.63 PassAll12=False"
