"Label","Fast","Slow","Lot","Deposit","Net2023","Net2024","Net2025","MinYearNet"
"h1_f50_s75_l7_dep25k_scan2","50","75","7","25000","-24792.6","-30459.8","874329.4","-30459.8"
"h1_f50_s100_l7_dep25k_scan2","50","100","7","25000","-24792.6","-29104.6","880688.2","-29104.6"
"h1_f50_s120_l7_dep25k_scan2","50","120","7","25000","-24792.6","-24785.6","911411.2","-24792.6"
"h1_f34_s120_l7_dep25k_scan2","34","120","7","25000","-32305","-30714.6","970795","-32305"
"h1_f60_s120_l7_dep25k_scan2","60","120","7","25000","-24792.6","290274.6","870860.2","-24792.6"
"h1_f70_s150_l7_dep25k_scan2","70","150","7","25000","-24956.4","-24988.6","728672","-24988.6"
"h1_f80_s160_l7_dep25k_scan2","80","160","7","25000","133313.6","-26514.6","-24767.4","-26514.6"
"h1_f90_s180_l7_dep25k_scan2","90","180","7","25000","118301.4","-25632.6","793634.8","-25632.6"
