"Month","FromDate","ToDate","NetProfit","GrossProfit","GrossLoss","ReportFile"
"2023-01","2023-01-01","2023-01-31","-9 968.00","17 692.00","-27 660.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202301.htm"
"2023-02","2023-02-01","2023-02-28","-4 158.00","20 966.00","-25 124.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202302.htm"
"2023-03","2023-03-01","2023-03-31","1 403.00","31 244.00","-29 841.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202303.htm"
"2023-04","2023-04-01","2023-04-30","3 144.00","26 467.00","-23 323.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202304.htm"
"2023-05","2023-05-01","2023-05-31","595.00","24 095.00","-23 500.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202305.htm"
"2023-06","2023-06-01","2023-06-30","-4 787.00","21 097.00","-25 884.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202306.htm"
"2023-07","2023-07-01","2023-07-31","-9 964.00","4 932.00","-14 896.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202307.htm"
"2023-08","2023-08-01","2023-08-31","-9 982.00","6 428.00","-16 410.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202308.htm"
"2023-09","2023-09-01","2023-09-30","-1 518.00","16 145.00","-17 663.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202309.htm"
"2023-10","2023-10-01","2023-10-31","6 101.00","24 937.00","-18 836.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202310.htm"
"2023-11","2023-11-01","2023-11-30","2 655.00","19 122.00","-16 467.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202311.htm"
"2023-12","2023-12-01","2023-12-31","4 179.00","27 088.00","-22 909.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202312.htm"
