"Label","Fast","Slow","Lot","Deposit","Net2023","Net2024","Net2025","MinYearNet"
"h1_f40_s120_l7_dep25k_try","40","120","7","25000","-31703","-30693.6","906663.8","-31703"
"h1_f40_s120_l9_dep25k_try","40","120","9","25000","-28195.2","-25984.8","1165710.6","-28195.2"
"h1_f40_s120_l12_dep25k_try","40","120","12","25000","-26385.6","-24818.4","1554280.8","-26385.6"
"h1_f30_s100_l7_dep25k_try","30","100","7","25000","-28273","-24900.4","887784.8","-28273"
"h1_f30_s100_l10_dep25k_try","30","100","10","25000","-24978","-25732","1268264","-25732"
"h1_f55_s144_l7_dep25k_try","55","144","7","25000","-25005.4","314881","737095.8","-25005.4"
"h1_f55_s144_l10_dep25k_try","55","144","10","25000","-24978","-28884","1052994","-28884"
"h1_f25_s150_l10_dep25k_try","25","150","10","25000","-31390","-31192","1351454","-31390"
